"ENSEMBL_ID","N61311_Untreated","N61311_Dexamethasone","N052611_Untreated","N052611_Dexamethasone","N080611_Untreated","N080611_Dexamethasone","N061011_Untreated","N061011_Dexamethasone"
"ENSG00000229376",13,11,16,10,24,23,10,9
"ENSG00000228327",423,311,861,374,437,507,441,317
"ENSG00000223181",0,0,0,0,0,0,0,0
"ENSG00000229905",1,1,1,0,0,1,0,0
"ENSG00000237491",40,35,55,29,57,52,49,15
"ENSG00000285268",0,0,0,0,0,0,0,0
"ENSG00000230092",5,5,16,3,5,17,2,6
"ENSG00000177757",2,5,9,1,8,7,3,5
"ENSG00000228794",315,353,368,213,287,485,360,483
"ENSG00000225880",25,18,32,21,30,36,24,19
"ENSG00000230368",8,3,11,3,3,11,10,4
"ENSG00000234711",0,1,0,0,0,0,0,0
"ENSG00000283040",0,0,0,0,0,0,0,0
"ENSG00000272438",0,0,2,0,0,0,2,0
"ENSG00000230699",4,0,8,1,5,4,4,2
"ENSG00000241180",0,0,0,0,0,0,0,0
"ENSG00000223764",30,15,49,2,36,16,55,14
"ENSG00000187634",148,78,119,6,123,47,66,24
"ENSG00000188976",1003,1145,1090,581,1154,1633,734,839
"ENSG00000187961",225,248,185,75,290,314,156,197
"ENSG00000187583",19,9,13,6,17,19,9,14
"ENSG00000187642",1,3,4,0,13,4,5,2
"ENSG00000272512",0,2,0,2,0,5,3,0
"ENSG00000188290",16,29,8,4,4,15,3,11
"ENSG00000187608",319,235,215,90,199,228,143,175
"ENSG00000231702",0,1,0,0,0,0,0,0
"ENSG00000224969",0,0,1,0,1,3,1,1
"ENSG00000188157",2360,1806,2279,984,2625,3201,1616,1470
"ENSG00000242590",0,0,0,0,0,0,0,0
"ENSG00000217801",0,4,1,0,1,2,2,2
"ENSG00000273443",0,0,0,0,0,1,0,0
"ENSG00000237330",0,0,0,0,0,0,0,0
"ENSG00000131591",111,114,137,64,151,199,130,122
"ENSG00000285812",1,3,1,3,10,3,2,2
"ENSG00000223823",0,0,0,0,0,0,0,0
"ENSG00000207730",0,0,0,0,0,0,0,0
"ENSG00000207607",0,0,0,0,0,0,0,0
"ENSG00000198976",0,0,0,0,0,0,0,0
"ENSG00000272141",0,1,0,0,0,0,0,0
"ENSG00000205231",0,0,0,0,0,0,0,0
"ENSG00000162571",0,0,0,0,0,0,0,0
"ENSG00000186891",1,0,1,0,4,7,0,0
"ENSG00000186827",4,0,1,0,2,1,1,2
"ENSG00000078808",4435,4240,5405,2961,5931,7350,4456,4720
"ENSG00000176022",431,387,452,245,517,779,340,314
"ENSG00000184163",9,9,19,8,7,17,15,17
"ENSG00000260179",2,5,7,2,2,3,3,2
"ENSG00000160087",626,617,693,386,701,851,566,574
"ENSG00000230415",14,7,20,2,18,23,14,15
"ENSG00000162572",153,119,144,66,145,160,99,94
"ENSG00000131584",1702,1251,1366,476,1213,944,1067,896
"ENSG00000278073",0,0,0,0,0,0,0,0
"ENSG00000169972",187,179,194,89,198,252,148,136
"ENSG00000127054",1133,1127,1267,666,1263,1508,907,1032
"ENSG00000283712",0,0,0,0,0,0,0,0
"ENSG00000240731",36,26,30,21,34,39,38,24
"ENSG00000224051",317,286,370,209,372,426,276,280
"ENSG00000169962",11,5,9,4,12,10,8,12
"ENSG00000107404",1119,1134,1094,646,1020,1288,965,1095
"ENSG00000284372",0,0,0,0,0,0,0,0
"ENSG00000162576",11139,10701,12414,7353,10451,13091,9524,10726
"ENSG00000175756",692,705,719,378,736,1094,575,612
"ENSG00000223663",0,0,1,0,1,0,1,2
"ENSG00000221978",4069,4490,3917,2784,4487,6076,3433,4311
"ENSG00000224870",226,232,318,146,263,352,132,168
"ENSG00000242485",529,550,659,383,633,869,502,480
"ENSG00000264293",0,0,0,0,0,0,0,0
"ENSG00000272455",52,32,57,31,63,76,53,57
"ENSG00000235098",29,47,36,14,17,17,25,39
"ENSG00000225905",0,0,2,2,1,2,4,0
"ENSG00000205116",1,0,2,0,3,1,0,0
"ENSG00000225285",3,2,1,0,1,0,1,1
"ENSG00000179403",179,137,123,60,79,116,151,133
"ENSG00000215915",24,19,22,12,25,47,21,21
"ENSG00000160072",372,414,354,228,332,584,270,289
"ENSG00000284740",6,4,3,0,8,6,7,1
"ENSG00000197785",410,475,404,243,487,773,347,367
"ENSG00000205090",58,63,79,35,68,92,58,66
"ENSG00000160075",1714,1722,2053,1274,2047,2674,1509,1635
"ENSG00000215014",11,11,22,11,16,24,18,23
"ENSG00000274481",0,0,0,0,0,0,0,0
"ENSG00000228594",157,185,114,71,59,111,78,127
"ENSG00000272106",74,49,69,42,85,59,80,57
"ENSG00000197530",1053,833,1041,390,1084,1167,861,810
"ENSG00000189409",277,170,237,100,349,381,256,228
"ENSG00000248333",1535,1452,1609,937,1531,1850,1397,1518
"ENSG00000272004",0,0,1,1,0,3,1,1
"ENSG00000189339",3583,2257,4108,1696,3410,2817,2561,2165
"ENSG00000269737",62,41,44,16,58,40,57,55
"ENSG00000215914",255,158,214,93,335,359,237,214
"ENSG00000008128",110,111,107,57,57,70,118,142
"ENSG00000268575",96,52,85,44,83,66,135,144
"ENSG00000227775",8,3,10,3,4,4,16,12
"ENSG00000215790",2160,1367,1915,876,2086,1633,1861,1456
"ENSG00000008130",1277,1813,1413,1419,1445,2356,1104,2475
"ENSG00000078369",6568,6219,8218,5132,7884,11203,5980,7053
"ENSG00000231050",4,0,3,4,1,4,5,0
"ENSG00000169885",20,21,19,11,9,15,24,20
"ENSG00000178821",3,5,3,1,2,4,3,2
"ENSG00000142609",0,0,0,1,0,1,1,0
"ENSG00000233542",0,0,0,0,0,0,0,0
"ENSG00000187730",0,0,0,0,0,0,1,0
"ENSG00000226969",0,0,0,0,0,0,0,0
"ENSG00000067606",9,10,13,8,11,10,9,8
"ENSG00000271806",0,0,0,0,0,0,0,0
"ENSG00000182873",20,17,39,12,31,42,17,20
"ENSG00000162585",741,706,793,383,584,830,580,524
"ENSG00000234396",0,1,0,1,1,1,0,0
"ENSG00000157933",2174,1785,2263,1273,2440,3027,2391,2227
"ENSG00000116151",86,74,82,41,78,119,70,52
"ENSG00000272161",1,1,0,0,0,0,0,0
"ENSG00000269896",44,28,18,16,26,37,36,21
"ENSG00000272420",3,2,4,4,0,0,4,3
"ENSG00000157916",1721,1769,1981,1308,2002,2861,1459,1702
"ENSG00000157911",221,158,299,121,315,328,225,156
"ENSG00000149527",3,2,4,3,2,3,3,4
"ENSG00000224387",0,0,1,0,0,0,0,0
"ENSG00000229393",0,0,0,1,0,1,1,0
"ENSG00000157881",327,332,280,150,329,451,242,269
"ENSG00000197921",0,0,0,0,0,0,0,0
"ENSG00000272449",2,2,2,1,1,0,1,0
"ENSG00000238164",12,4,8,4,2,9,13,4
"ENSG00000157873",692,496,520,205,515,497,557,476
"ENSG00000225931",1,1,1,0,0,2,1,0
"ENSG00000228037",1,2,1,0,0,2,1,2
"ENSG00000157870",341,406,367,230,369,475,266,316
"ENSG00000142606",0,1,2,0,1,0,1,0
"ENSG00000237058",0,0,0,0,0,0,0,0
"ENSG00000215912",13,3,18,4,16,10,7,2
"ENSG00000285945",0,0,0,0,0,0,0,0
"ENSG00000283259",0,0,0,0,0,0,0,0
"ENSG00000233234",0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0
"ENSG00000284745",0,0,0,0,0,0,0,0
"ENSG00000169717",0,0,0,0,0,0,0,0
"ENSG00000177133",10,14,12,2,8,5,6,8
"ENSG00000142611",85,58,67,24,41,49,47,43
"ENSG00000283572",0,0,0,0,0,0,0,0
"ENSG00000226286",0,0,0,0,0,0,0,0
"ENSG00000279839",0,0,0,0,0,0,0,0
"ENSG00000272235",3,2,0,1,3,1,1,0
"ENSG00000130762",1,0,2,0,2,1,1,0
"ENSG00000272088",0,0,0,0,0,0,0,0
"ENSG00000162591",409,256,972,499,376,649,1049,1264
"ENSG00000207776",0,0,0,0,0,0,0,0
"ENSG00000238260",9,7,9,2,11,11,10,16
"ENSG00000158109",1841,1559,2108,1358,2169,2358,1581,1999
"ENSG00000116213",317,325,322,219,368,497,207,263
"ENSG00000078900",2,1,3,0,0,0,1,3
"ENSG00000227589",0,0,0,0,0,0,0,0
"ENSG00000235131",0,1,0,0,0,0,0,0
"ENSG00000227372",919,787,1306,604,1173,1230,1042,913
"ENSG00000276189",0,0,0,0,0,0,0,0
"ENSG00000162592",2,0,4,0,1,0,2,0
"ENSG00000235169",28,10,25,10,15,16,29,16
"ENSG00000130764",762,652,834,462,763,986,604,656
"ENSG00000266075",3,0,1,1,0,0,3,0
"ENSG00000272153",14,6,15,5,18,24,12,4
"ENSG00000116198",516,592,571,377,769,867,482,637
"ENSG00000169598",94,83,99,46,93,114,74,87
"ENSG00000198912",340,352,415,234,372,543,279,294
"ENSG00000236423",9,8,8,7,16,14,10,8
"ENSG00000233304",0,0,0,0,0,0,0,0
"ENSG00000226374",0,0,0,0,0,0,0,0
"ENSG00000284668",0,0,0,0,0,0,0,0
"ENSG00000284703",0,0,1,1,1,0,2,0
"ENSG00000229280",0,0,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,0,0,0,0
"ENSG00000284694",0,0,0,0,0,0,0,0
"ENSG00000227169",0,0,0,0,0,0,0,0
"ENSG00000232596",0,0,0,0,0,0,0,0
"ENSG00000196581",0,0,0,0,0,0,0,0
"ENSG00000284739",0,0,0,0,0,0,0,0
"ENSG00000284674",0,0,0,0,0,0,0,0
"ENSG00000231510",0,0,0,0,0,0,0,0
"ENSG00000284616",0,0,0,0,0,0,0,0
"ENSG00000284692",0,0,0,0,0,0,0,0
"ENSG00000284666",0,0,0,0,0,0,0,0
"ENSG00000260972",0,0,0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0,0,0
"ENSG00000236948",0,0,0,0,0,0,0,0
"ENSG00000264341",0,0,0,0,0,0,0,0
"ENSG00000264101",0,0,0,0,0,0,0,0
"ENSG00000131697",281,187,207,109,225,320,224,214
"ENSG00000069424",175,187,220,148,194,262,181,232
"ENSG00000116254",9,10,16,9,4,10,6,7
"ENSG00000285629",1,0,0,0,0,0,0,0
"ENSG00000116251",5684,4879,5834,3501,5228,5719,4331,4422
"ENSG00000226944",2,3,3,3,6,2,5,7
"ENSG00000158286",66,80,163,66,106,121,65,83
"ENSG00000116237",2587,2389,3030,1866,2883,3853,2003,2107
"ENSG00000225077",2,2,1,0,2,3,2,2
"ENSG00000173673",0,0,0,0,0,0,0,0
"ENSG00000158292",934,387,843,261,854,560,857,509
"ENSG00000097021",503,461,663,347,568,727,518,455
"ENSG00000271746",0,0,0,0,0,0,0,0
"ENSG00000069812",5,4,4,0,2,0,5,0
"ENSG00000187017",1,1,1,1,1,0,0,0
"ENSG00000265392",0,0,0,0,0,0,0,0
"ENSG00000231868",1,0,0,0,0,0,0,0
"ENSG00000215788",27,15,33,11,50,43,54,31
"ENSG00000171680",136,62,170,56,273,215,206,115
"ENSG00000162408",380,325,374,203,344,441,287,283
"ENSG00000253022",0,0,0,0,0,0,0,0
"ENSG00000229519",0,1,0,0,2,2,4,0
"ENSG00000173662",4,7,9,4,8,3,2,3
"ENSG00000204859",207,187,272,132,228,277,176,198
"ENSG00000162413",2268,2257,1844,2054,2386,2826,1776,2715
"ENSG00000116273",641,625,613,485,667,839,624,647
"ENSG00000041988",196,179,242,124,222,253,202,174
"ENSG00000007923",574,550,725,405,852,1042,555,570
"ENSG00000228750",0,0,0,0,0,0,0,0
"ENSG00000284744",0,0,0,0,0,0,0,0
"ENSG00000237436",2,3,2,3,3,4,1,1
"ENSG00000171735",291,266,308,188,335,452,274,252
"ENSG00000227950",0,0,1,0,0,0,0,0
"ENSG00000237365",0,0,0,0,0,0,0,0
"ENSG00000207056",0,0,0,0,0,0,0,0
"ENSG00000237402",1,1,0,0,0,0,0,0
"ENSG00000237728",0,0,1,0,0,0,0,0
"ENSG00000225126",0,0,0,0,0,0,0,0
"ENSG00000270171",0,0,0,0,0,0,0,0
"ENSG00000270035",0,0,0,0,0,0,0,0
"ENSG00000269978",0,0,0,0,0,0,0,0
"ENSG00000049245",3167,2808,3839,2689,3846,4867,2826,3343
"ENSG00000269925",10,11,12,8,11,9,9,6
"ENSG00000049246",316,51,332,91,447,90,413,56
"ENSG00000236266",6,0,1,1,3,2,2,0
"ENSG00000049247",0,0,2,0,2,1,0,0
"ENSG00000049249",0,2,1,1,1,1,0,0
"ENSG00000270330",0,0,0,0,0,0,0,0
"ENSG00000116288",2502,2465,2578,1494,2545,3237,1899,1936
"ENSG00000200344",1,0,1,1,1,0,1,0
"ENSG00000284747",4,7,2,13,12,27,3,15
"ENSG00000284716",0,0,0,0,0,0,0,0
"ENSG00000116285",833,3134,1289,4340,1506,7805,769,5924
"ENSG00000238290",0,0,1,0,2,3,1,5
"ENSG00000232848",1,0,1,0,2,2,0,1
"ENSG00000229305",0,0,0,0,0,0,0,0
"ENSG00000227634",0,0,0,0,0,0,0,2
"ENSG00000200975",0,0,0,0,0,0,0,0
"ENSG00000233645",0,1,0,0,0,0,0,0
"ENSG00000251977",0,0,0,0,0,0,0,0
"ENSG00000162426",113,204,98,146,111,342,96,252
"ENSG00000252254",0,1,0,1,0,1,0,0
"ENSG00000142599",2663,2646,3785,1922,3029,4324,2888,3168
"ENSG00000232912",3,1,2,1,3,6,1,6
"ENSG00000221083",0,0,0,0,0,0,0,0
"ENSG00000270282",0,0,1,0,0,0,1,0
"ENSG00000234619",1,0,1,1,0,2,3,1
"ENSG00000224315",0,0,0,0,0,1,0,0
"ENSG00000222511",0,0,0,0,0,1,0,0
"ENSG00000226545",0,0,0,0,0,0,0,0
"ENSG00000228423",0,0,0,0,0,0,0,0
"ENSG00000229716",0,0,0,0,0,0,0,0
"ENSG00000074800",17069,15550,14908,7284,13030,32213,9126,10389
"ENSG00000274258",0,1,0,0,0,0,1,0
"ENSG00000230679",1,0,0,1,0,0,1,0
"ENSG00000201725",0,0,0,0,0,0,0,0
"ENSG00000238249",9,6,10,8,22,13,8,10
"ENSG00000232208",0,1,0,0,0,0,0,0
"ENSG00000232663",0,0,0,0,0,0,0,0
"ENSG00000131686",0,0,0,0,0,0,0,0
"ENSG00000265141",0,0,0,0,0,0,0,0
"ENSG00000197241",0,0,1,0,0,0,0,0
"ENSG00000142583",131,35,204,99,75,343,49,35
"ENSG00000252404",0,0,0,0,0,0,0,0
"ENSG00000180758",79,70,85,48,83,106,93,85
"ENSG00000228526",784,481,667,253,786,615,631,374
"ENSG00000284357",0,0,0,0,0,0,0,0
"ENSG00000234546",89,41,98,41,134,114,64,48
"ENSG00000049239",5731,5511,6850,5162,4823,9032,5349,7229
"ENSG00000171621",1044,726,673,485,900,663,654,940
"ENSG00000284652",4,3,3,2,1,4,0,2
"ENSG00000284693",51,29,84,31,53,52,34,32
"ENSG00000252956",0,0,0,0,0,0,0,0
"ENSG00000235263",0,0,0,0,0,0,0,0
"ENSG00000171612",77,71,53,44,71,101,52,69
"ENSG00000231181",2,0,1,1,0,2,1,2
"ENSG00000188807",144,105,135,76,142,182,137,116
"ENSG00000171608",267,338,352,314,367,768,281,618
"ENSG00000179840",0,0,0,0,0,0,0,0
"ENSG00000233268",0,0,0,0,0,0,0,0
"ENSG00000231789",42,26,56,16,61,69,27,31
"ENSG00000171603",5767,6131,7728,5059,7110,10889,5444,7621
"ENSG00000271264",0,0,0,0,0,0,0,0
"ENSG00000280113",0,0,1,0,0,0,0,0
"ENSG00000178585",239,182,231,168,251,300,231,248
"ENSG00000223989",0,0,0,0,0,0,0,0
"ENSG00000285701",0,0,0,0,1,1,0,0
"ENSG00000162441",456,270,439,170,496,475,369,308
"ENSG00000228150",0,3,6,1,4,8,5,4
"ENSG00000173614",351,239,373,222,369,394,295,265
"ENSG00000202415",0,1,1,0,0,0,1,0
"ENSG00000283611",0,0,0,0,0,0,0,0
"ENSG00000265521",0,0,0,0,0,0,0,0
"ENSG00000241326",0,0,0,0,0,0,0,0
"ENSG00000162444",0,0,3,0,2,0,0,0
"ENSG00000130939",2383,1696,2681,1590,2766,3055,2049,2634
"ENSG00000224340",0,0,0,0,0,0,0,0
"ENSG00000233623",0,0,0,0,0,0,0,0
"ENSG00000201746",0,1,0,0,0,0,0,1
"ENSG00000054523",1572,1499,1684,1131,1721,2091,1367,1692
"ENSG00000264881",0,0,0,0,0,0,0,0
"ENSG00000199562",0,0,0,1,0,1,0,0
"ENSG00000264501",0,0,0,0,0,0,0,0
"ENSG00000284735",2,7,0,0,1,2,4,3
"ENSG00000284642",2,4,2,4,5,1,2,4
"ENSG00000142657",3005,2900,3637,2130,4295,3538,2055,2577
"ENSG00000271989",0,0,0,0,0,0,0,0
"ENSG00000251503",2,3,2,1,1,3,2,0
"ENSG00000175279",17,22,34,17,16,24,22,12
"ENSG00000241563",2,1,1,1,9,2,1,3
"ENSG00000160049",950,742,948,493,1208,1314,809,764
"ENSG00000203469",0,0,0,0,0,0,0,0
"ENSG00000142655",341,295,389,192,369,501,254,284
"ENSG00000243267",0,0,0,0,0,1,0,1
"ENSG00000130940",0,1,7,3,15,15,4,3
"ENSG00000272078",0,0,0,0,5,3,0,1
"ENSG00000225158",0,0,0,0,0,0,0,0
"ENSG00000175262",0,0,4,1,0,0,1,0
"ENSG00000215785",0,0,1,0,0,0,0,0
"ENSG00000120948",1627,1300,1959,1008,2122,2220,1325,1145
"ENSG00000277726",0,1,0,1,1,1,1,0
"ENSG00000009724",36,28,58,22,39,38,47,33
"ENSG00000271895",33,31,40,24,36,26,27,22
"ENSG00000116649",1004,1255,1122,1313,1100,1879,745,1536
"ENSG00000171824",1062,1293,1360,1286,1201,1725,919,1940
"ENSG00000226849",2,1,2,1,2,7,1,4
"ENSG00000230337",2,0,6,7,1,7,1,6
"ENSG00000198793",1592,1753,1786,2013,2150,3355,1264,2571
"ENSG00000225602",1,0,0,1,0,0,0,0
"ENSG00000253086",1,0,0,0,0,0,0,0
"ENSG00000171819",4,50,19,543,1,10,14,1067
"ENSG00000207451",0,0,0,1,0,0,0,0
"ENSG00000238173",0,0,0,0,0,0,0,0
"ENSG00000120942",218,258,234,252,269,465,207,400
"ENSG00000238199",0,1,0,0,2,0,0,0
"ENSG00000284646",0,0,0,0,0,0,0,0
"ENSG00000224338",0,0,0,0,0,0,0,0
"ENSG00000204624",0,0,3,7,1,0,2,1
"ENSG00000285833",0,0,0,0,0,0,0,0
"ENSG00000235643",1,0,0,0,0,0,0,1
"ENSG00000284708",0,0,0,0,0,0,0,0
"ENSG00000116661",25,39,60,32,44,56,40,56
"ENSG00000132879",500,391,441,244,468,505,373,400
"ENSG00000116663",114,120,135,78,113,130,141,132
"ENSG00000116670",341,386,354,235,369,500,271,328
"ENSG00000162490",4,3,4,0,3,0,1,1
"ENSG00000177674",504,869,658,778,457,1233,427,1036
"ENSG00000215910",0,0,0,1,0,2,0,1
"ENSG00000177553",0,0,0,0,0,0,0,0
"ENSG00000177000",1326,1119,1426,724,1248,1118,1164,1254
"ENSG00000011021",760,644,674,425,717,899,628,769
"ENSG00000276470",0,0,0,0,0,0,0,0
"ENSG00000278852",0,0,0,0,0,0,0,0
"ENSG00000175206",2,2,3,1,2,0,2,2
"ENSG00000275915",0,0,0,0,0,0,0,0
"ENSG00000120937",0,0,0,0,0,0,0,0
"ENSG00000224904",0,0,0,0,0,0,0,0
"ENSG00000285646",1,1,0,0,1,1,1,2
"ENSG00000199347",0,0,0,0,0,0,0,0
"ENSG00000201801",0,0,0,0,0,0,0,0
"ENSG00000116685",1245,1109,1341,818,1243,1828,1040,1249
"ENSG00000083444",6547,4383,8089,4250,7099,9510,6142,5752
"ENSG00000116688",3018,2373,3386,1735,3316,3897,2413,2202
"ENSG00000270914",0,0,0,0,0,0,0,0
"ENSG00000116691",231,290,194,131,203,286,130,192
"ENSG00000202461",1,3,1,0,0,1,0,1
"ENSG00000276869",0,0,0,0,0,0,0,0
"ENSG00000243539",0,0,0,0,0,0,0,0
"ENSG00000120949",1,1,4,1,0,3,0,0
"ENSG00000201135",0,0,0,0,0,0,0,0
"ENSG00000227875",0,0,0,0,0,0,0,0
"ENSG00000285604",0,0,0,0,0,0,0,0
"ENSG00000283789",0,0,0,0,0,0,0,0
"ENSG00000028137",399,576,602,474,289,1008,337,547
"ENSG00000263676",0,0,0,0,0,0,0,0
"ENSG00000225196",0,0,0,0,0,0,0,0
"ENSG00000252969",0,0,0,0,0,0,0,0
"ENSG00000048707",2344,2883,3223,2889,2526,4668,2553,4541
"ENSG00000239149",5,3,2,6,7,7,1,9
"ENSG00000229484",0,1,0,0,0,0,0,0
"ENSG00000162496",1984,3975,3975,4940,1559,3231,2430,5798
"ENSG00000221340",5,5,10,7,2,3,2,12
"ENSG00000276830",1,3,2,2,1,1,1,1
"ENSG00000272482",34,57,86,72,18,35,53,73
"ENSG00000204518",3,9,8,7,0,3,5,14
"ENSG00000226166",0,0,0,0,0,0,0,0
"ENSG00000188984",0,0,0,0,0,0,0,0
"ENSG00000157330",1,0,1,0,0,0,0,0
"ENSG00000116726",1,4,0,0,0,0,0,0
"ENSG00000116721",0,10,0,0,0,0,0,0
"ENSG00000228338",0,0,0,0,0,0,0,0
"ENSG00000239810",0,1,0,0,0,0,0,0
"ENSG00000231103",0,0,0,0,0,0,0,0
"ENSG00000179172",1,0,0,1,0,3,1,2
"ENSG00000120952",0,12,0,0,0,0,0,0
"ENSG00000243073",0,0,0,0,0,0,0,0
"ENSG00000187545",0,0,0,0,0,0,0,0
"ENSG00000204510",0,14,0,0,0,1,0,0
"ENSG00000207434",0,0,0,0,0,0,0,0
"ENSG00000234064",0,1,0,0,0,0,0,0
"ENSG00000232423",0,3,0,0,0,0,0,0
"ENSG00000274178",0,6,0,0,0,0,0,0
"ENSG00000274764",0,0,0,0,0,0,0,0
"ENSG00000277058",0,0,0,0,1,0,0,1
"ENSG00000229571",0,2,0,0,0,0,0,0
"ENSG00000277862",0,7,0,0,0,0,0,0
"ENSG00000236179",0,0,0,0,0,0,0,0
"ENSG00000275774",0,0,0,0,0,1,3,1
"ENSG00000229978",0,7,0,0,0,0,0,0
"ENSG00000233336",0,0,0,0,0,0,0,0
"ENSG00000280267",0,2,0,0,0,0,0,0
"ENSG00000179412",0,0,0,0,0,0,0,1
"ENSG00000204505",0,0,0,0,0,0,0,0
"ENSG00000279169",0,6,0,0,0,0,0,0
"ENSG00000279804",0,0,0,0,0,0,0,0
"ENSG00000250894",0,0,0,0,0,0,0,0
"ENSG00000270601",0,2,0,0,0,0,0,0
"ENSG00000231219",0,1,0,0,0,0,0,0
"ENSG00000207511",0,0,0,0,0,0,0,0
"ENSG00000182330",0,22,0,0,0,1,0,0
"ENSG00000237700",0,0,0,0,0,0,0,0
"ENSG00000204501",1,1,0,0,0,0,0,0
"ENSG00000228229",0,0,0,0,0,0,0,0
"ENSG00000204481",0,2,0,0,0,0,0,0
"ENSG00000204480",0,0,0,0,0,0,0,0
"ENSG00000204479",0,0,0,0,0,0,0,0
"ENSG00000204478",0,2,0,0,0,0,0,0
"ENSG00000162494",0,0,0,0,0,0,0,0
"ENSG00000259961",0,0,0,0,0,0,0,0
"ENSG00000215909",0,0,0,0,0,0,0,0
"ENSG00000162493",891,2859,508,1120,216,974,358,1291
"ENSG00000222952",0,0,0,0,0,0,0,0
"ENSG00000237445",0,0,0,0,1,0,0,0
"ENSG00000253085",0,0,0,0,0,0,0,0
"ENSG00000116731",1115,1178,1408,900,1203,1620,980,1258
"ENSG00000189337",719,479,818,294,824,1000,704,731
"ENSG00000252151",0,0,0,0,0,0,0,0
"ENSG00000231606",0,1,2,0,0,1,2,0
"ENSG00000234593",0,0,0,0,0,0,0,0
"ENSG00000235829",0,0,1,0,0,0,0,0
"ENSG00000175147",7,9,16,2,13,8,17,9
"ENSG00000171729",243,194,165,86,216,176,210,199
"ENSG00000204464",0,0,0,0,0,0,1,0
"ENSG00000215720",0,0,0,0,0,1,0,0
"ENSG00000278480",0,0,0,0,0,0,0,0
"ENSG00000142621",1,0,0,0,1,3,1,0
"ENSG00000233485",0,0,0,0,0,0,0,0
"ENSG00000236045",0,0,0,0,0,0,0,0
"ENSG00000228140",0,0,1,0,1,0,2,3
"ENSG00000142634",502,602,479,342,573,926,501,691
"ENSG00000162438",2,1,1,0,1,1,0,0
"ENSG00000142615",2,0,0,0,0,0,1,0
"ENSG00000215704",1,1,0,0,1,0,1,1
"ENSG00000132906",186,196,191,105,170,210,168,189
"ENSG00000116138",600,550,641,462,693,901,499,624
"ENSG00000251866",0,0,0,0,0,0,0,0
"ENSG00000272510",0,0,0,0,0,0,0,0
"ENSG00000116771",4,12,9,7,19,14,7,7
"ENSG00000237301",3,1,6,3,1,1,1,3
"ENSG00000235084",88,72,55,28,47,77,58,58
"ENSG00000252417",0,0,0,0,0,0,0,0
"ENSG00000236500",0,0,0,0,0,0,0,0
"ENSG00000197312",321,536,340,567,442,677,262,687
"ENSG00000215695",0,0,0,0,0,0,0,0
"ENSG00000271742",1,0,0,0,0,1,0,0
"ENSG00000116786",3516,3313,3780,2424,4145,4785,3156,4058
"ENSG00000237938",16,15,13,6,25,22,13,14
"ENSG00000162461",29,32,19,30,25,31,21,24
"ENSG00000224459",0,0,0,0,0,0,0,0
"ENSG00000162460",0,0,0,0,0,0,0,0
